day,cash_start,cash_end,hustle_income,asset_income,maintenance_spend,assistant_wages,hours_freelance,hours_survey,hours_blog_setup,hours_blog_maintenance,freelance_runs,survey_runs,blog_active
1,45.0,171.0,126,0.0,0,0,14.0,0.0,0.0,0.0,7,0,False
2,171.0,297.0,126,0.0,0,0,14.0,0.0,0.0,0.0,7,0,False
3,297.0,211.0,94,0.0,0,0,10.0,1.0,3.0,0.0,5,4,False
4,211.0,305.0,94,0.0,0,0,10.0,1.0,3.0,0.0,5,4,False
5,305.0,397.5,91,4.5,3,0,10.0,0.25,3.0,0.6,5,1,True
6,397.5,511.0,112,4.5,3,0,12.0,1.0,0.0,0.6,6,4,True
7,511.0,624.5,112,4.5,3,0,12.0,1.0,0.0,0.6,6,4,True
8,624.5,738.0,112,4.5,3,0,12.0,1.0,0.0,0.6,6,4,True
9,738.0,851.5,112,4.5,3,0,12.0,1.0,0.0,0.6,6,4,True
10,851.5,965.0,112,4.5,3,0,12.0,1.0,0.0,0.6,6,4,True
11,965.0,1078.5,112,4.5,3,0,12.0,1.0,0.0,0.6,6,4,True
12,1078.5,1192.0,112,4.5,3,0,12.0,1.0,0.0,0.6,6,4,True
13,1192.0,1305.5,112,4.5,3,0,12.0,1.0,0.0,0.6,6,4,True
14,1305.5,1419.0,112,4.5,3,0,12.0,1.0,0.0,0.6,6,4,True
15,1419.0,1532.5,112,4.5,3,0,12.0,1.0,0.0,0.6,6,4,True
16,1532.5,1646.0,112,4.5,3,0,12.0,1.0,0.0,0.6,6,4,True
17,1646.0,1759.5,112,4.5,3,0,12.0,1.0,0.0,0.6,6,4,True
18,1759.5,1873.0,112,4.5,3,0,12.0,1.0,0.0,0.6,6,4,True
19,1873.0,1986.5,112,4.5,3,0,12.0,1.0,0.0,0.6,6,4,True
20,1986.5,2100.0,112,4.5,3,0,12.0,1.0,0.0,0.6,6,4,True
21,2100.0,2213.5,112,4.5,3,0,12.0,1.0,0.0,0.6,6,4,True
22,2213.5,2327.0,112,4.5,3,0,12.0,1.0,0.0,0.6,6,4,True
23,2327.0,2440.5,112,4.5,3,0,12.0,1.0,0.0,0.6,6,4,True
24,2440.5,2554.0,112,4.5,3,0,12.0,1.0,0.0,0.6,6,4,True
25,2554.0,2667.5,112,4.5,3,0,12.0,1.0,0.0,0.6,6,4,True
26,2667.5,2781.0,112,4.5,3,0,12.0,1.0,0.0,0.6,6,4,True
27,2781.0,2894.5,112,4.5,3,0,12.0,1.0,0.0,0.6,6,4,True
28,2894.5,3008.0,112,4.5,3,0,12.0,1.0,0.0,0.6,6,4,True
29,3008.0,3121.5,112,4.5,3,0,12.0,1.0,0.0,0.6,6,4,True
30,3121.5,3235.0,112,4.5,3,0,12.0,1.0,0.0,0.6,6,4,True
