track,tuition,study_hours,incremental_daily,roi_per_hour,payback_days,net_gain_horizon,details
outlineMastery,140,10.0,26.85,2.685,5.21415270018622,531.25,freelance income +25.0% => $26.85/day; audiobookNarration income +15.0% => $0.00/day
guerillaBuzzWorkshop,180,9.0,5.45,0.6055555555555556,33.027522935779814,-49.19999999999999,streetPromoSprint income +25.0% => $0.00/day; surveySprint +$1.50 per run × 3.63 => $5.45/day
syndicationResidency,1000,36.0,16.578,0.46049999999999996,60.32090722644469,-651.8620000000001,freelance income +15.0% => $16.11/day; streetPromoSprint +$2.00 per run × 0.00 => $0.00/day; blog income +12.0% => $0.47/day
storycraftJumpstart,0,12.0,0.195,0.01625,0.0,5.265000000000001,blog income +5.0% => $0.20/day
vlogStudioJumpstart,0,12.0,0.0,0.0,inf,0.0,vlog income +5.0% => $0.00/day
digitalShelfPrimer,0,12.0,0.0,0.0,inf,0.0,ebook income +5.0% => $0.00/day; stockPhotos income +5.0% => $0.00/day
photoLibrary,95,6.0,0.0,0.0,inf,-95.0,eventPhotoGig income +20.0% => $0.00/day
ecomPlaybook,900,27.0,0.0,0.0,inf,-900.0,bundlePush +$5.00 per run × 0.00 => $0.00/day; dropshipping income +15.0% => $0.00/day
commerceLaunchPrimer,0,12.0,0.0,0.0,inf,0.0,dropshipping income +5.0% => $0.00/day
microSaasJumpstart,0,12.0,0.0,0.0,inf,0.0,saas income +5.0% => $0.00/day
brandVoiceLab,120,4.0,0.0,0.0,inf,-120.0,audienceCall +$4.00 per run × 0.00 => $0.00/day
automationCourse,3000,90.0,0.0,0.0,inf,-3000.0,saasBugSquash +$6.00 per run × 0.00 => $0.00/day; saas income +15.0% => $0.00/day
postProductionPipelineLab,900,40.0,0.0,0.0,inf,-900.0,vlogEditRush income +25.0% => $0.00/day; vlog income +15.0% => $0.00/day
curriculumDesignStudio,280,15.0,0.0,0.0,inf,-280.0,popUpWorkshop income +30.0% => $0.00/day; bundlePush income +15.0% => $0.00/day
fulfillmentOpsMasterclass,1200,40.0,0.0,0.0,inf,-1200.0,dropshipPackParty income +20.0% => $0.00/day; dropshipping income +25.0% => $0.00/day
customerRetentionClinic,1000,21.0,0.0,0.0,inf,-1000.0,saasBugSquash +$5.00 per run × 0.00 => $0.00/day; saas income +20.0% => $0.00/day
narrationPerformanceWorkshop,900,21.0,0.0,0.0,inf,-900.0,audiobookNarration income +25.0% => $0.00/day; ebook income +10.0% => $0.00/day
galleryLicensingSummit,1100,32.0,0.0,0.0,inf,-1100.0,eventPhotoGig income +20.0% => $0.00/day; stockPhotos income +15.0% => $0.00/day
